日期,UID,获取积分数
2022/4/29,,9.8
2022/4/29,,911.206
2022/4/29,,0.28
2022/4/29,,121.32
2022/4/29,,15.68
2022/4/29,,7
2022/4/29,,400.132
2022/4/29,,2.8
2022/4/29,,5.6
2022/4/29,,404.92
2022/4/29,,7257.01
2022/4/29,,21.84
2022/4/29,,809.261
2022/4/29,,890.673
2022/4/29,,5171.88
2022/4/29,,28.016
2022/4/29,,57.96
2022/4/29,,708.88
2022/4/29,,113.44
2022/4/29,,2494.382
2022/4/29,,1099.52
2022/4/29,,8.4
2022/4/29,,81.76
2022/4/29,,549.28
2022/4/29,,392.88
2022/4/29,,18.2
2022/4/29,,10.64
2022/4/29,,5207.26
2022/4/29,,94.36
2022/4/29,,37.8
2022/4/29,,22.4
2022/4/29,,53.2
2022/4/29,,550.28
2022/4/29,,28821.05
2022/4/29,,447.862
2022/4/29,,488.369
2022/4/29,,743.48
2022/4/29,,225.36
2022/4/29,,591.48
2022/4/29,,4.2
2022/4/29,,973.629
2022/4/29,,174.68
2022/4/29,,4771.501
2022/4/29,,616.04
2022/4/29,,56
2022/4/29,,360.64
2022/4/29,,3.823
2022/4/29,,34.08
2022/4/29,,85.68
2022/4/29,,1424.107
2022/4/29,,27.16
2022/4/29,,22.4
2022/4/29,,1.12
2022/4/29,,61.267
2022/4/29,,1.68
2022/4/29,,1711.596
2022/4/29,,4458.277
2022/4/29,,1.4
2022/4/29,,635.74
2022/4/29,,15.12
2022/4/29,,40.88
2022/4/29,,595.44
2022/4/29,,3616.156
2022/4/29,,309.421
2022/4/29,,2.24
2022/4/29,,100.94
2022/4/29,,11.48
2022/4/29,,90.44
2022/4/29,,843.599
2022/4/29,,109.2
2022/4/29,,1081.681
2022/4/29,,8295.521
2022/4/29,,929.298
2022/4/29,,1.4
2022/4/29,,4.48
2022/4/29,,198.8
2022/4/29,,1.68
2022/4/29,,66.2
2022/4/29,,4.76
2022/4/29,,200.28
2022/4/29,,189.588
2022/4/29,,155.68
2022/4/29,,8.96
2022/4/29,,29.68
2022/4/29,,19.6
2022/4/29,,903.671
2022/4/29,,3267.211
2022/4/29,,15.4
2022/4/29,,205.981
2022/4/29,,77.84
2022/4/29,,1.68
2022/4/29,,194.04
2022/4/29,,4.2
2022/4/29,,3692.098
2022/4/29,,2394.798
2022/4/29,,1356.68
2022/4/29,,24.36
2022/4/29,,182.919
2022/4/29,,399.268
2022/4/29,,2058.644
2022/4/29,,754.48
2022/4/29,,342.88
2022/4/29,,84.28
2022/4/29,,87.64
2022/4/29,,415.72
2022/4/29,,98.48
2022/4/29,,1651.08
2022/4/29,,19.32
2022/4/29,,672.644
2022/4/29,,106.96
2022/4/29,,362.56
2022/4/29,,43.68
2022/4/29,,3.08
2022/4/29,,71.12
2022/4/29,,55.167
2022/4/29,,82.32
2022/4/29,,2258.408
2022/4/29,,2.8
2022/4/29,,22.12
2022/4/29,,10.178
2022/4/29,,1419.198
2022/4/29,,8.68
2022/4/29,,3129.895
2022/4/29,,2993.04
2022/4/29,,189.92
2022/4/29,,766.43
2022/4/29,,174.31
2022/4/29,,21.147
2022/4/29,,259.744
2022/4/29,,61.32
2022/4/29,,16.8
2022/4/29,,6.72
2022/4/29,,764.28
2022/4/29,,224.994
2022/4/29,,15.96
2022/4/29,,3178.633
2022/4/29,,141.68
2022/4/29,,16.8
2022/4/29,,122.101
2022/4/29,,3.92
2022/4/29,,0.399
2022/4/29,,182
2022/4/29,,275.24
2022/4/29,,2638.68
2022/4/29,,146.52
2022/4/29,,1427.68
2022/4/29,,61.6
2022/4/29,,305.24
2022/4/29,,853.39
2022/4/29,,589
2022/4/29,,647.14
2022/4/29,,678.7
2022/4/29,,82.768
2022/4/29,,14.28
2022/4/29,,68.418
2022/4/29,,50.757
2022/4/29,,1418.658
2022/4/29,,79.24
2022/4/29,,402.55
2022/4/29,,27159.127
2022/4/29,,56
2022/4/29,,11.76
2022/4/29,,543.175
2022/4/29,,15.68
2022/4/29,,1.68
2022/4/29,,473.76
2022/4/29,,14793.84
2022/4/29,,1894.17
2022/4/29,,1381.669
2022/4/29,,2.8
2022/4/29,,2.8
2022/4/29,,1809.571
2022/4/29,,14851.258
2022/4/29,,1.96
2022/4/29,,0.56
2022/4/29,,1.4
